"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","57","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","21","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","22","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","47","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","34","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","7","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","9","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","31","","","","0"
"2021-01","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","56","","","","0"
"2021-04","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","51","","","","0"
"2021-07","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","32","","","","0"
"2021-10","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","43","","","","0"
"2022-01","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","51","","","","0"
"2022-04","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","22","","","","0"
"2022-07","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","32","","","","0"
"2022-10","Newfoundland and Labrador","2016A000210","Net emigration","Persons","249","units","0","v1566834789","2.6","43","","","","0"
"2006-01","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","54","","","","0"
"2006-04","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","66","","","","0"
"2006-07","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","89","","","","0"
"2006-10","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","48","","","","0"
"2007-01","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","39","","","","0"
"2007-04","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","46","","","","0"
"2007-07","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","131","","","","0"
"2007-10","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","63","","","","0"
"2008-01","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","58","","","","0"
"2008-04","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","60","","","","0"
"2008-07","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","143","","","","0"
"2008-10","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","76","","","","0"
"2009-01","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","64","","","","0"
"2009-04","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","63","","","","0"
"2009-07","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","69","","","","0"
"2009-10","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units","0","v29850348","2.2","26","","","","0"
