"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"V121763","V80691333","Conventional mortgage - 1-year"
"V121764","V80691335","Conventional mortgage - 5-year"
"V121769","V80691334","Conventional mortgage - 3-year"
"V121796","V80691311","Prime rate"

"OBSERVATIONS"
"date","V121763","V121764","V121769","V121796"
"2009-12-30","3.60","5.49","4.25","2.25"
"2010-01-06","3.60","5.49","4.25","2.25"
"2010-01-13","3.60","5.49","4.25","2.25"
"2010-01-20","3.60","5.49","4.25","2.25"
"2010-01-27","3.60","5.49","4.25","2.25"
"2010-02-03","3.60","5.39","4.15","2.25"
"2010-02-10","3.60","5.39","4.15","2.25"
"2010-02-17","3.60","5.39","4.15","2.25"
"2010-02-24","3.60","5.39","4.15","2.25"
"2010-03-03","3.60","5.39","4.15","2.25"
"2010-03-10","3.60","5.39","4.15","2.25"
"2010-03-17","3.60","5.25","4.15","2.25"
"2010-03-24","3.60","5.25","4.15","2.25"
"2010-03-31","3.60","5.85","4.35","2.25"
"2010-04-07","3.60","5.85","4.35","2.25"
"2010-04-14","3.60","5.85","4.35","2.25"
"2010-04-21","3.60","6.10","4.60","2.25"
"2010-04-28","3.80","6.25","4.75","2.25"
"2010-05-05","3.80","6.25","4.75","2.25"
"2010-05-12","3.70","6.10","4.75","2.25"
"2010-05-19","3.70","6.10","4.60","2.25"
"2010-05-26","3.70","5.99","4.60","2.25"
"2010-06-02","3.70","5.99","4.60","2.50"
"2010-06-09","3.70","5.99","4.60","2.50"
"2010-06-16","3.70","5.99","4.60","2.50"
"2010-06-23","3.70","5.99","4.60","2.50"
"2010-06-30","3.60","5.89","4.50","2.50"
"2010-07-07","3.50","5.79","4.40","2.50"
"2010-07-14","3.50","5.79","4.40","2.50"
"2010-07-21","3.50","5.79","4.40","2.75"
"2010-07-28","3.50","5.79","4.40","2.75"
"2010-08-04","3.50","5.79","4.40","2.75"
"2010-08-11","3.30","5.59","4.20","2.75"
"2010-08-18","3.30","5.49","4.10","2.75"
"2010-08-25","3.30","5.39","4.10","2.75"
"2010-09-01","3.30","5.39","4.10","2.75"
"2010-09-08","3.30","5.39","4.10","2.75"
"2010-09-15","3.30","5.39","4.10","3.00"
"2010-09-22","3.30","5.39","4.10","3.00"
"2010-09-29","3.30","5.39","4.10","3.00"
"2010-10-06","3.30","5.39","4.10","3.00"
"2010-10-13","3.30","5.29","4.10","3.00"
"2010-10-20","3.20","5.29","4.00","3.00"
"2010-10-27","3.20","5.29","4.00","3.00"
"2010-11-03","3.20","5.29","4.00","3.00"
"2010-11-10","3.20","5.19","4.00","3.00"
"2010-11-17","3.35","5.19","4.00","3.00"
"2010-11-24","3.35","5.44","4.25","3.00"
"2010-12-01","3.35","5.19","4.15","3.00"
"2010-12-08","3.35","5.19","4.15","3.00"
"2010-12-15","3.35","5.19","4.15","3.00"
"2010-12-22","3.35","5.19","4.15","3.00"
"2010-12-29","3.35","5.19","4.15","3.00"
"2011-01-05","3.35","5.19","4.15","3.00"
"2011-01-12","3.35","5.19","4.15","3.00"
"2011-01-19","3.35","5.19","4.15","3.00"
"2011-01-26","3.35","5.19","4.15","3.00"
"2011-02-02","3.35","5.19","4.15","3.00"
"2011-02-09","3.50","5.44","4.35","3.00"
"2011-02-16","3.50","5.44","4.35","3.00"
"2011-02-23","3.50","5.44","4.35","3.00"
"2011-03-02","3.50","5.44","4.35","3.00"
"2011-03-09","3.50","5.44","4.35","3.00"
"2011-03-16","3.50","5.44","4.35","3.00"
"2011-03-23","3.50","5.34","4.35","3.00"
"2011-03-30","3.50","5.34","4.35","3.00"
"2011-04-06","3.70","5.69","4.55","3.00"
"2011-04-13","3.70","5.69","4.55","3.00"
"2011-04-20","3.70","5.69","4.55","3.00"
"2011-04-27","3.70","5.69","4.55","3.00"
"2011-05-04","3.70","5.69","4.55","3.00"
"2011-05-11","3.70","5.69","4.55","3.00"
"2011-05-18","3.70","5.69","4.55","3.00"
"2011-05-25","3.70","5.59","4.55","3.00"
"2011-06-01","3.60","5.49","4.45","3.00"
"2011-06-08","3.50","5.39","4.25","3.00"
"2011-06-15","3.50","5.39","4.25","3.00"
"2011-06-22","3.50","5.39","4.25","3.00"
"2011-06-29","3.50","5.39","4.25","3.00"
"2011-07-06","3.60","5.54","4.45","3.00"
"2011-07-13","3.60","5.54","4.35","3.00"
"2011-07-20","3.50","5.39","4.35","3.00"
"2011-07-27","3.50","5.39","4.35","3.00"
"2011-08-03","3.50","5.39","4.35","3.00"
"2011-08-10","3.50","5.39","4.35","3.00"
"2011-08-17","3.50","5.39","4.35","3.00"
"2011-08-24","3.50","5.39","4.35","3.00"
"2011-08-31","3.50","5.39","4.35","3.00"
"2011-09-07","3.50","5.39","4.35","3.00"
"2011-09-14","3.50","5.39","4.35","3.00"
"2011-09-21","3.50","5.19","4.35","3.00"
"2011-09-28","3.50","5.19","4.35","3.00"
"2011-10-05","3.50","5.19","4.35","3.00"
"2011-10-12","3.50","5.29","4.05","3.00"
"2011-10-19","3.50","5.29","4.05","3.00"
"2011-10-26","3.50","5.29","4.05","3.00"
"2011-11-02","3.50","5.29","4.05","3.00"
"2011-11-09","3.50","5.29","4.05","3.00"
"2011-11-16","3.50","5.29","4.05","3.00"
"2011-11-23","3.50","5.29","4.05","3.00"
"2011-11-30","3.50","5.29","4.05","3.00"
"2011-12-07","3.50","5.29","4.05","3.00"
"2011-12-14","3.50","5.29","4.05","3.00"
"2011-12-21","3.50","5.29","4.05","3.00"
"2011-12-28","3.50","5.29","4.05","3.00"
"2012-01-04","3.50","5.29","4.05","3.00"
"2012-01-11","3.50","5.29","4.05","3.00"
"2012-01-18","3.50","5.29","4.05","3.00"
"2012-01-25","3.50","5.29","4.05","3.00"
"2012-02-01","3.50","5.14","3.95","3.00"
"2012-02-08","3.20","5.14","3.95","3.00"
"2012-02-15","3.20","5.24","3.95","3.00"
"2012-02-22","3.20","5.24","3.95","3.00"
"2012-02-29","3.20","5.24","3.95","3.00"
"2012-03-07","3.20","5.24","3.95","3.00"
"2012-03-14","3.20","5.24","3.95","3.00"
"2012-03-21","3.20","5.24","3.95","3.00"
"2012-03-28","3.20","5.24","3.95","3.00"
"2012-04-04","3.20","5.44","3.95","3.00"
"2012-04-11","3.20","5.44","3.95","3.00"
"2012-04-18","3.20","5.44","3.95","3.00"
"2012-04-25","3.20","5.44","3.95","3.00"
"2012-05-02","3.20","5.44","3.95","3.00"
"2012-05-09","3.20","5.44","3.95","3.00"
"2012-05-16","3.20","5.44","3.95","3.00"
"2012-05-23","3.20","5.44","3.95","3.00"
"2012-05-30","3.20","5.34","3.95","3.00"
"2012-06-06","3.20","5.24","3.95","3.00"
"2012-06-13","3.20","5.24","3.95","3.00"
"2012-06-20","3.20","5.24","3.95","3.00"
"2012-06-27","3.20","5.24","3.95","3.00"
"2012-07-04","3.20","5.24","3.95","3.00"
"2012-07-11","3.20","5.24","3.95","3.00"
"2012-07-18","3.10","5.24","3.95","3.00"
"2012-07-25","3.10","5.24","3.95","3.00"
"2012-08-01","3.10","5.24","3.95","3.00"
"2012-08-08","3.10","5.24","3.95","3.00"
"2012-08-15","3.10","5.24","3.95","3.00"
"2012-08-22","3.10","5.24","3.95","3.00"
"2012-08-29","3.10","5.24","4.05","3.00"
"2012-09-05","3.10","5.24","4.05","3.00"
"2012-09-12","3.10","5.24","4.05","3.00"
"2012-09-19","3.10","5.24","4.05","3.00"
"2012-09-26","3.10","5.24","3.85","3.00"
"2012-10-03","3.10","5.24","3.85","3.00"
"2012-10-10","3.10","5.24","3.85","3.00"
"2012-10-17","3.10","5.24","3.85","3.00"
"2012-10-24","3.10","5.24","3.85","3.00"
"2012-10-31","3.10","5.24","3.70","3.00"
"2012-11-07","3.10","5.24","3.70","3.00"
"2012-11-14","3.10","5.24","3.70","3.00"
"2012-11-21","3.10","5.24","3.70","3.00"
"2012-11-28","3.10","5.24","3.70","3.00"
"2012-12-05","3.10","5.24","3.70","3.00"
"2012-12-12","3.10","5.24","3.70","3.00"
"2012-12-19","3.00","5.24","3.70","3.00"
"2012-12-26","3.00","5.24","3.70","3.00"
"2013-01-02","3.00","5.24","3.70","3.00"
"2013-01-09","3.00","5.24","3.70","3.00"
"2013-01-16","3.00","5.24","3.65","3.00"
"2013-01-23","3.00","5.24","3.65","3.00"
"2013-01-30","3.00","5.24","3.65","3.00"
"2013-02-06","3.00","5.24","3.65","3.00"
"2013-02-13","3.00","5.24","3.65","3.00"
"2013-02-20","3.00","5.24","3.65","3.00"
"2013-02-27","3.00","5.24","3.65","3.00"
"2013-03-06","3.00","5.24","3.65","3.00"
"2013-03-13","3.00","5.14","3.55","3.00"
"2013-03-20","3.00","5.14","3.55","3.00"
"2013-03-27","3.00","5.14","3.55","3.00"
"2013-04-03","3.00","5.14","3.55","3.00"
"2013-04-10","3.00","5.14","3.55","3.00"
"2013-04-17","3.00","5.14","3.55","3.00"
"2013-04-24","3.00","5.14","3.55","3.00"
"2013-05-01","3.00","5.14","3.55","3.00"
"2013-05-08","3.00","5.14","3.55","3.00"
"2013-05-15","3.00","5.14","3.55","3.00"
"2013-05-22","3.00","5.14","3.55","3.00"
"2013-05-29","3.00","5.14","3.55","3.00"
"2013-06-05","3.00","5.14","3.55","3.00"
"2013-06-12","3.14","5.14","3.55","3.00"
"2013-06-19","3.14","5.14","3.65","3.00"
"2013-06-26","3.14","5.14","3.65","3.00"
"2013-07-03","3.14","5.14","3.75","3.00"
"2013-07-10","3.14","5.14","3.75","3.00"
"2013-07-17","3.14","5.14","3.75","3.00"
"2013-07-24","3.14","5.14","3.75","3.00"
"2013-07-31","3.14","5.14","3.75","3.00"
"2013-08-07","3.14","5.14","3.75","3.00"
"2013-08-14","3.14","5.14","3.75","3.00"
"2013-08-21","3.14","5.14","3.75","3.00"
"2013-08-28","3.14","5.34","3.95","3.00"
"2013-09-04","3.14","5.34","3.95","3.00"
"2013-09-11","3.14","5.34","3.95","3.00"
"2013-09-18","3.14","5.34","3.95","3.00"
"2013-09-25","3.14","5.34","3.95","3.00"
"2013-10-02","3.14","5.34","3.95","3.00"
"2013-10-09","3.14","5.34","3.95","3.00"
"2013-10-16","3.14","5.34","3.95","3.00"
"2013-10-23","3.14","5.34","3.95","3.00"
"2013-10-30","3.14","5.34","3.95","3.00"
"2013-11-06","3.14","5.34","3.95","3.00"
"2013-11-13","3.14","5.34","3.95","3.00"
"2013-11-20","3.14","5.34","3.95","3.00"
"2013-11-27","3.14","5.34","3.95","3.00"
"2013-12-04","3.14","5.34","3.95","3.00"
"2013-12-11","3.14","5.34","3.95","3.00"
"2013-12-18","3.14","5.34","3.95","3.00"
"2013-12-25","3.14","5.34","3.95","3.00"
"2014-01-01","3.14","5.34","3.95","3.00"
"2014-01-08","3.14","5.34","3.95","3.00"
"2014-01-15","3.14","5.34","3.95","3.00"
"2014-01-22","3.14","5.24","3.75","3.00"
"2014-01-29","3.14","5.24","3.75","3.00"
"2014-02-05","3.14","5.24","3.75","3.00"
"2014-02-12","3.14","5.24","3.75","3.00"
"2014-02-19","3.14","5.24","3.75","3.00"
"2014-02-26","3.14","5.24","3.75","3.00"
"2014-03-05","3.14","4.99","3.75","3.00"
"2014-03-12","3.14","4.99","3.75","3.00"
"2014-03-19","3.14","4.99","3.75","3.00"
"2014-03-26","3.14","4.99","3.75","3.00"
"2014-04-02","3.14","4.99","3.75","3.00"
"2014-04-09","3.14","4.79","3.75","3.00"
"2014-04-16","3.14","4.79","3.75","3.00"
"2014-04-23","3.14","4.79","3.75","3.00"
"2014-04-30","3.14","4.79","3.75","3.00"
"2014-05-07","3.14","4.79","3.75","3.00"
"2014-05-14","3.14","4.79","3.75","3.00"
"2014-05-21","3.14","4.79","3.75","3.00"
"2014-05-28","3.14","4.79","3.75","3.00"
"2014-06-04","3.14","4.79","3.75","3.00"
"2014-06-11","3.14","4.79","3.75","3.00"
"2014-06-18","3.14","4.79","3.75","3.00"
"2014-06-25","3.14","4.79","3.75","3.00"
"2014-07-02","3.14","4.79","3.75","3.00"
"2014-07-09","3.14","4.79","3.75","3.00"
"2014-07-16","3.14","4.79","3.75","3.00"
"2014-07-23","3.14","4.79","3.75","3.00"
"2014-07-30","3.14","4.79","3.75","3.00"
"2014-08-06","3.14","4.79","3.75","3.00"
"2014-08-13","3.14","4.79","3.75","3.00"
"2014-08-20","3.14","4.79","3.75","3.00"
"2014-08-27","3.14","4.79","3.75","3.00"
"2014-09-03","3.14","4.79","3.75","3.00"
"2014-09-10","3.14","4.79","3.75","3.00"
"2014-09-17","3.14","4.79","3.75","3.00"
"2014-09-24","3.14","4.79","3.75","3.00"
"2014-10-01","3.14","4.79","3.75","3.00"
"2014-10-08","3.14","4.79","3.44","3.00"
"2014-10-15","3.14","4.79","3.44","3.00"
"2014-10-22","3.14","4.79","3.44","3.00"
"2014-10-29","3.14","4.79","3.44","3.00"
"2014-11-05","3.14","4.79","3.44","3.00"
"2014-11-12","3.14","4.79","3.44","3.00"
"2014-11-19","3.14","4.79","3.44","3.00"
"2014-11-26","3.14","4.79","3.44","3.00"
"2014-12-03","3.14","4.79","3.44","3.00"
"2014-12-10","3.14","4.79","3.44","3.00"
"2014-12-17","3.14","4.79","3.44","3.00"
"2014-12-24","3.14","4.79","3.44","3.00"
"2014-12-31","3.14","4.79","3.44","3.00"
"2015-01-07","3.14","4.79","3.44","3.00"
"2015-01-14","3.14","4.79","3.44","3.00"
"2015-01-21","3.14","4.79","3.44","3.00"
"2015-01-28","3.14","4.79","3.44","2.85"
"2015-02-04","3.14","4.79","3.80","2.85"
"2015-02-11","3.14","4.79","3.80","2.85"
"2015-02-18","3.14","4.79","3.80","2.85"
"2015-02-25","2.89","4.74","3.39","2.85"
"2015-03-04","2.89","4.74","3.39","2.85"
"2015-03-11","2.89","4.74","3.39","2.85"
"2015-03-18","2.89","4.74","3.39","2.85"
"2015-03-25","2.89","4.74","3.39","2.85"
"2015-04-01","2.89","4.74","3.39","2.85"
"2015-04-08","2.89","4.64","3.39","2.85"
"2015-04-15","2.89","4.64","3.39","2.85"
"2015-04-22","2.89","4.64","3.39","2.85"
"2015-04-29","2.89","4.64","3.39","2.85"
"2015-05-06","2.89","4.64","3.39","2.85"
"2015-05-13","2.89","4.64","3.39","2.85"
"2015-05-20","2.89","4.64","3.39","2.85"
"2015-05-27","2.89","4.64","3.39","2.85"
"2015-06-03","2.89","4.64","3.39","2.85"
"2015-06-10","2.89","4.64","3.39","2.85"
"2015-06-17","2.89","4.64","3.39","2.85"
"2015-06-24","2.89","4.64","3.39","2.85"
"2015-07-01","2.89","4.64","3.39","2.85"
"2015-07-08","2.89","4.64","3.39","2.85"
"2015-07-15","2.89","4.64","3.39","2.85"
"2015-07-22","2.89","4.64","3.39","2.70"
"2015-07-29","2.89","4.64","3.39","2.70"
"2015-08-05","2.89","4.64","3.39","2.70"
"2015-08-12","2.89","4.64","3.39","2.70"
"2015-08-19","2.89","4.64","3.39","2.70"
"2015-08-26","2.89","4.64","3.39","2.70"
"2015-09-02","2.89","4.64","3.39","2.70"
"2015-09-09","2.89","4.64","3.39","2.70"
"2015-09-16","2.89","4.64","3.39","2.70"
