Province,Centre,Total
,Temiskaming Shores,26
,Hawkesbury,32
,Hawkesbury,32
,Kenora,53
,Kenora,53
,Leamington,136
,Leamington,112
,Leamington,248
,Midland,77
,Midland,48
,Midland,126
,Midland,251
,Orillia,79
,Orillia,109
,Orillia,188
,Owen Sound,39
,Owen Sound,85
,Owen Sound,124
,Pembroke,41
,Pembroke,61
,Pembroke,102
,Petawawa,74
,Petawawa,74
,Port Hope,55
,Port Hope,55
,Stratford,109
,Stratford,109
,Tillsonburg,74
,Tillsonburg,74
,Timmins,42
,Timmins,42
,Woodstock,415
,Woodstock,415
,Total,"68,020"
,Winnipeg,68
,Winnipeg,38
,Winnipeg,8
,Winnipeg,"2,204"
,Winnipeg,18
,Winnipeg,100
,Winnipeg,36
,Winnipeg,50
,Winnipeg,92
,Winnipeg,4
,Winnipeg,"2,618"
,Hanover,70
,Hanover,70
,St. Andrews,46
,St. Andrews,46
,Brandon,189
,Brandon,1
,Brandon,190
,Portage la Prairie,8
,Portage la Prairie,9
,Portage la Prairie,17
,Thompson,10
,Thompson,10
,Total,"2,951"
,Regina,--
,Regina,--
,Regina,--
,Regina,2
,Regina,907
,Regina,6
,Regina,51
,Regina,19
,Regina,--
,Regina,19
,Regina,--
,Regina,4
,Regina,--
,Regina,8
,Regina,10
,Regina,--
,Regina,3
,Regina,"1,029"
,Saskatoon,--
,Saskatoon,7
,Saskatoon,--
,Saskatoon,4
,Saskatoon,56
,Saskatoon,706
,Saskatoon,2
,Saskatoon,105
,Saskatoon,6
,Saskatoon,119
,Saskatoon,--
,Saskatoon,--
,Saskatoon,10
,Saskatoon,--
,Saskatoon,13
,Saskatoon,--
,Saskatoon,--
,Saskatoon,--
,Saskatoon,--
,Saskatoon,8
,Saskatoon,3
,Saskatoon,--
,Saskatoon,--
,Saskatoon,"1,039"
,Estevan,1
,Estevan,10
,Estevan,52
,Estevan,63
,Lloydminster,162
,Lloydminster,162
,Moose Jaw,3
,Moose Jaw,83
,Moose Jaw,86
,North Battleford,12
,North Battleford,16
,North Battleford,28
,Prince Albert,7
,Prince Albert,44
,Prince Albert,6
,Prince Albert,57
,Swift Current,9
,Swift Current,30
,Swift Current,39
,Yorkton,7
,Yorkton,19
,Yorkton,--
,Yorkton,1
,Yorkton,--
,Yorkton,27
,Total,"2,530"
,Calgary,273
,Calgary,"10,956"
,Calgary,507
,Calgary,125
,Calgary,780
,Calgary,19
,Calgary,--
,Calgary,30
,Calgary,"12,690"
,Edmonton,4
,Edmonton,73
,Edmonton,301
,Edmonton,--
,Edmonton,321
,Edmonton,28
,Edmonton,12
,Edmonton,--
,Edmonton,9
,Edmonton,--
,Edmonton,5
,Edmonton,--
,Edmonton,149
,Edmonton,1
,Edmonton,1
,Edmonton,--
,Edmonton,--
,Edmonton,--
,Edmonton,--
,Edmonton,15
,Edmonton,218
,Edmonton,431
,Edmonton,731
,Edmonton,284
,Edmonton,140
,Edmonton,"8,890"
,Edmonton,396
,Edmonton,29
,Edmonton,13
,Edmonton,13
,Edmonton,102
,Edmonton,9
,Edmonton,"12,175"
,Lethbridge,772
,Lethbridge,772
,Medicine Hat,60
,Medicine Hat,"1,188"
,Medicine Hat,69
,Medicine Hat,"1,317"
,Red Deer,"1,324"
,Red Deer,"1,324"
,Canmore,238
,Canmore,238
,Okotoks,848
,Okotoks,848
,Brooks,176
,Brooks,176
,Camrose,149
,Camrose,149
,Cold Lake,150
,Cold Lake,126
,Cold Lake,32
,Cold Lake,--
,Cold Lake,--
,Cold Lake,--
,Cold Lake,308
,Grande Prairie,"1,114"
,Grande Prairie,"1,114"
,Lloydminster,285
,Lloydminster,285
,Wetaskiwin,23
,Wetaskiwin,23
,Wood Buffalo,"1,040"
,Wood Buffalo,"1,040"
,Total,"32,459"
,Abbotsford,617
,Abbotsford,126
,Abbotsford,2
,Abbotsford,745
,Vancouver,880
,Vancouver,216
,Vancouver,"4,136"
,Vancouver,54
,Vancouver,237
,Vancouver,"1,452"
,Vancouver,264
,Vancouver,"4,736"
,Vancouver,"2,738"
,Vancouver,591
,Vancouver,323
,Vancouver,2
,Vancouver,35
,Vancouver,429
,Vancouver,578
,Vancouver,276
,Vancouver,282
,Vancouver,198
,Vancouver,38
,Vancouver,1
,Vancouver,187
,Vancouver,419
,Vancouver,"18,072"
,Victoria,34
,Victoria,51
,Victoria,33
,Victoria,296
,Victoria,20
,Victoria,612
,Victoria,88
,Victoria,140
,Victoria,16
,Victoria,518
,Victoria,57
,Victoria,12
,Victoria,111
,Victoria,57
,Victoria,"2,045"
,Chilliwack,"1,108"
,Chilliwack,3
,Chilliwack,--
,Chilliwack,"1,111"
,Kamloops,3
,Kamloops,--
,Kamloops,617
,Kamloops,--
,Kamloops,620
,Kelowna,"1,760"
,Kelowna,47
,Kelowna,138
,Kelowna,134
,Kelowna,250
,Kelowna,"2,329"
,Nanaimo,663
,Nanaimo,4
,Nanaimo,32
,Nanaimo,19
,Nanaimo,2
,Nanaimo,720
,Prince George,222
,Prince George,12
,Prince George,13
,Prince George,9
,Prince George,2
,Prince George,258
,Vernon,69
,Vernon,279
,Vernon,8
,Vernon,14
,Vernon,370
,Salmon Arm,176
,Salmon Arm,176
,Summerland,51
,Summerland,51
,Campbell River,319
,Campbell River,17
,Campbell River,336
,Courtenay,68
,Courtenay,405
,Courtenay,46
,Courtenay,29
,Courtenay,--
,Courtenay,25
