Province,Centre,Total
Que/Qc,Sherbrooke,--
Que/Qc,Sherbrooke,--
Que/Qc,Sherbrooke,14
Que/Qc,Sherbrooke,"1,027"
Que/Qc,Trois-Rivières,805
Que/Qc,Trois-Rivières,2
Que/Qc,Trois-Rivières,23
Que/Qc,Trois-Rivières,145
Que/Qc,Trois-Rivières,975
Que/Qc,Drummondville,7
Que/Qc,Drummondville,482
Que/Qc,Drummondville,11
Que/Qc,Drummondville,7
Que/Qc,Drummondville,507
Que/Qc,Granby,127
Que/Qc,Granby,449
Que/Qc,Granby,56
Que/Qc,Granby,632
Que/Qc,Saint-Jean-sur-Richelieu,808
Que/Qc,Saint-Jean-sur-Richelieu,808
Que/Qc,Shawinigan,147
Que/Qc,Shawinigan,2
Que/Qc,Shawinigan,149
Que/Qc,Gaspé,62
Que/Qc,Gaspé,62
Que/Qc,Montmagny,26
Que/Qc,Montmagny,26
Que/Qc,Roberval,7
Que/Qc,Roberval,7
Que/Qc,Saint-Félicien,21
Que/Qc,Saint-Félicien,21
Que/Qc,Saint-Lin-Laurentides,275
Que/Qc,Saint-Lin-Laurentides,275
Que/Qc,Sainte-Marie,221
Que/Qc,Sainte-Marie,221
Que/Qc,Alma,68
Que/Qc,Alma,68
Que/Qc,Amos,--
Que/Qc,Amos,--
Que/Qc,Amos,5
Que/Qc,Amos,--
Que/Qc,Amos,22
Que/Qc,Amos,--
Que/Qc,Amos,--
Que/Qc,Amos,--
Que/Qc,Amos,--
Que/Qc,Amos,2
Que/Qc,Amos,29
Que/Qc,Baie-Comeau,--
Que/Qc,Baie-Comeau,3
Que/Qc,Baie-Comeau,--
Que/Qc,Baie-Comeau,--
Que/Qc,Baie-Comeau,1
Que/Qc,Baie-Comeau,4
Que/Qc,Campbellton,--
Que/Qc,Campbellton,--
Que/Qc,Cowansville,108
Que/Qc,Cowansville,108
Que/Qc,Dolbeau-Mistassini,59
Que/Qc,Dolbeau-Mistassini,59
Que/Qc,Hawkesbury,29
Que/Qc,Hawkesbury,29
Que/Qc,Joliette,145
Que/Qc,Joliette,90
Que/Qc,Joliette,105
Que/Qc,Joliette,340
Que/Qc,Lachute,35
Que/Qc,Lachute,35
Que/Qc,La Tuque,16
Que/Qc,La Tuque,16
Que/Qc,Magog,211
Que/Qc,Magog,211
Que/Qc,Matane,--
Que/Qc,Matane,14
Que/Qc,Matane,14
Que/Qc,Pembroke,--
Que/Qc,Pembroke,--
Que/Qc,Rimouski,6
Que/Qc,Rimouski,19
Que/Qc,Rimouski,210
Que/Qc,Rimouski,4
Que/Qc,Rimouski,239
Que/Qc,Rivière-du-Loup,17
Que/Qc,Rivière-du-Loup,136
Que/Qc,Rivière-du-Loup,2
Que/Qc,Rivière-du-Loup,155
Que/Qc,Rouyn-Noranda,58
Que/Qc,Rouyn-Noranda,58
Que/Qc,Saint-Georges,190
Que/Qc,Saint-Georges,190
Que/Qc,Saint-Hyacinthe,446
Que/Qc,Saint-Hyacinthe,446
Que/Qc,Sept-Îles,29
Que/Qc,Sept-Îles,29
Que/Qc,Sorel-Tracy,16
Que/Qc,Sorel-Tracy,--
Que/Qc,Sorel-Tracy,210
Que/Qc,Sorel-Tracy,2
Que/Qc,Sorel-Tracy,228
Que/Qc,Thetford Mines,30
Que/Qc,Thetford Mines,30
Que/Qc,Val d'Or,68
Que/Qc,Val d'Or,68
Que/Qc,Salaberry-de-Valleyfield,125
Que/Qc,Salaberry-de-Valleyfield,125
Que/Qc,Victoriaville,17
Que/Qc,Victoriaville,363
Que/Qc,Victoriaville,380
Que/Qc,Total,"41,023"
Ont./Ont.,Hamilton,"1,294"
Ont./Ont.,Hamilton,"1,923"
Ont./Ont.,Hamilton,130
Ont./Ont.,Hamilton,"3,347"
Ont./Ont.,Kingston,7
Ont./Ont.,Kingston,475
Ont./Ont.,Kingston,81
Ont./Ont.,Kingston,68
Ont./Ont.,Kingston,631
Ont./Ont.,Kitchener,18
Ont./Ont.,Kitchener,920
Ont./Ont.,Kitchener,"1,453"
