"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","67300","A","","","0"
"2010","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","68000","A","","","0"
"2011","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","70700","A","","","0"
"2012","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","72500","A","","","0"
"2013","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","75600","B","","","0"
"2014","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","80500","B","","","0"
"2015","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","78600","A","","","0"
"2016","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","76400","A","","","0"
"2017","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","76000","A","","","0"
"2018","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","76700","A","","","0"
"2019","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","76000","A","","","0"
"2020","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","78700","A","","","0"
"2021","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","76200","A","","","0"
"2006","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","85300","B","","","0"
"2007","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","88700","B","","","0"
"2008","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","94200","B","","","0"
"2009","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","100100","B","","","0"
"2010","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","97600","B","","","0"
"2011","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","102200","B","","","0"
"2012","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","104100","B","","","0"
"2013","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","103600","B","","","0"
"2014","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","108800","B","","","0"
"2015","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","108100","A","","","0"
"2016","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","104800","B","","","0"
"2017","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","108700","A","","","0"
"2018","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","105900","A","","","0"
"2019","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","102800","A","","","0"
"2020","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","107800","A","","","0"
"2021","Saskatchewan","2016A000247","Median total income","Economic families","2021 constant dollars","429","units","0","v96414332","11.8.2","106800","A","","","0"
"2006","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","28300","C","","","0"
"2007","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","31600","C","","","0"
"2008","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","31500","C","","","0"
"2009","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","31700","C","","","0"
"2010","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","34700","C","","","0"
"2011","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","37100","C","","","0"
"2012","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","39700","B","","","0"
"2013","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","38100","C","","","0"
"2014","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","38900","C","","","0"
