"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","34700","A","","","0"
"2017","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","35700","A","","","0"
"2018","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","35500","A","","","0"
"2019","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","36600","A","","","0"
"2020","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","39100","A","","","0"
"2021","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","40500","A","","","0"
"2006","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7800","A","","","0"
"2007","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7200","A","","","0"
"2008","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7500","A","","","0"
"2009","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","6600","A","","","0"
"2010","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","6700","A","","","0"
"2011","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","6800","A","","","0"
"2012","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7100","A","","","0"
"2013","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7400","A","","","0"
"2014","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7700","A","","","0"
"2015","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7600","A","","","0"
"2016","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7200","A","","","0"
"2017","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7600","A","","","0"
"2018","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7800","A","","","0"
"2019","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","7700","A","","","0"
"2020","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","8200","A","","","0"
"2021","Canada","2016A000011124","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411971","1.10.1","9200","A","","","0"
"2006","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","11700","A","","","0"
"2007","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","11000","A","","","0"
"2008","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","11200","A","","","0"
"2009","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","10000","A","","","0"
"2010","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","10100","A","","","0"
"2011","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","10900","A","","","0"
"2012","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","11400","A","","","0"
"2013","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","11500","A","","","0"
"2014","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","11900","A","","","0"
"2015","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","12200","A","","","0"
"2016","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","11900","A","","","0"
"2017","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","12400","A","","","0"
"2018","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","12800","A","","","0"
"2019","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","12700","A","","","0"
"2020","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","13400","A","","","0"
"2021","Canada","2016A000011124","Median income tax","Economic families","2021 constant dollars","429","units","0","v96411972","1.10.2","14200","A","","","0"
"2006","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2500","D","","","0"
"2007","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2600","C","","","0"
"2008","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2900","C","","","0"
"2009","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2600","D","","","0"
"2010","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2500","D","","","0"
"2011","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2300","D","","","0"
"2012","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2400","C","","","0"
"2013","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2900","C","","","0"
"2014","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","3100","C","","","0"
"2015","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2300","D","","","0"
"2016","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2600","C","","","0"
"2017","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2700","C","","","0"
"2018","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2700","C","","","0"
"2019","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","2700","C","","","0"
"2020","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","3200","B","","","0"
"2021","Canada","2016A000011124","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96411984","1.10.14","3900","B","","","0"
"2006","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","57700","A","","","0"
"2007","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","59200","A","","","0"
"2008","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","60100","A","","","0"
"2009","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","59900","A","","","0"
"2010","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","59400","A","","","0"
"2011","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","59200","A","","","0"
"2012","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","60800","A","","","0"
"2013","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","61200","A","","","0"
"2014","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","62600","A","","","0"
"2015","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","62400","A","","","0"
"2016","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","62400","A","","","0"
"2017","Canada","2016A000011124","Median after-tax income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412011","1.12.1","63900","A","","","0"
